,0,1,2,3,4,5,6
72,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='rbf', n_components=5, n_jobs=8, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.8239641577980279,0.8609375,0.7474937343358395
73,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='rbf', n_components=5, n_jobs=8, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.9008130200159897,0.8546875,0.7506700779727096
74,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='rbf', n_components=5, n_jobs=8, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'gini', 'max_depth': None}",0.9018661065096765,0.8515625,0.7534461152882206
75,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='rbf', n_components=5, n_jobs=8, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 50}",0.8985142900848387,0.85625,0.7477722082985241
76,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='rbf', n_components=5, n_jobs=8, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.8853865942385033,0.840625,0.7492254942912837
77,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='rbf', n_components=5, n_jobs=8, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.8946205346275231,0.85625,0.7444914369256475
78,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='rbf', n_components=10, n_jobs=8, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.8284437483030078,0.828125,0.6241819827346142
79,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='rbf', n_components=10, n_jobs=8, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.9186209001589605,0.85,0.743342731829574
80,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='rbf', n_components=10, n_jobs=8, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.9168324084473038,0.853125,0.7570749791144529
81,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='rbf', n_components=10, n_jobs=8, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 50}",0.9139423303091491,0.840625,0.7429685324422166
82,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='rbf', n_components=10, n_jobs=8, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.9046902208891652,0.8375,0.7230750487329436
83,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='rbf', n_components=10, n_jobs=8, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.8968722269228557,0.8625,0.7662124060150376
84,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'gini', 'max_depth': 15}",0.823453787451958,0.815625,0.7108483013088276
85,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.8983679849283233,0.846875,0.79916805903648
86,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.8983624396608313,0.840625,0.8028317321080478
87,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': DecisionTreeClassifier(random_state=42), 'n_estimators': 50}",0.8949827021335397,0.840625,0.796087440824283
88,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.879985261660892,0.846875,0.7701893622946254
89,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.8390723619409999,0.809375,0.7659861459203565
90,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.8051884705606407,0.8265625,0.7138418964076858
91,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.9095981655566787,0.865625,0.8170687134502924
92,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.9078267434561568,0.865625,0.8152499303815093
93,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': DecisionTreeClassifier(random_state=42), 'n_estimators': 50}",0.8995540393290984,0.859375,0.7892735310498469
94,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.8872175241329152,0.8578125,0.7857490949596213
